id,auteur_id,titre_original,titre_francais,titre_anglais,langue_originale,dans_classeur_lea,original_sur_git,traduction_anglaise_sur_git,traduction_francaise_sur_git,traduction_italienne_sur_git,note
67,45,Περὶ ἀποχῆς τῶν ἐμψύχων,Sur l'abstinence de la chair des animaux,On Abstinence from Animal Food,grec,Oui,Oui,Oui,Non,Non,
68,46,à renseigner,à renseigner,à renseigner,latin,Oui,Non,Non,Non,Non,
69,47,Ἰξευτικά,Ixeuticon,Paraphrases on Bird-catching,grec,Oui,Oui,Non,Non,Non,
70,48,Iamboi,Iambes,Iambs,grec,Oui,Non,Non,Non,Non,"VERIFICATION STRUCTURELLE (07/2026) : traduction anglaise (Edmonds, Loeb 1931) en prose continue, non alignee vers-a-vers avec l'original grec (1174 <l> cote grec, 0 cote traduction). Alignement automatique impossible sans nouvelle traduction versifiee. Traductions versifiees partielles identifiees : Diotima (fr. 7, 'sur les femmes', 118 vers) et A.Z. Foreman (fr. 1, 'sur le destin') -- non integrees, verifier droits de reutilisation avant integration."
71,49,Γεωγραφικά,Géographie,Geography,grec,Oui,Oui,Oui,Oui,Non,
72,50,Περὶ εὑρημάτων,Sur les inventions,On Inventions,grec,Oui,Non,Non,Non,Non,
73,51,Hippiatrica,Hippiatrica,Hippiatrica,latin,Oui,Non,Non,Non,Non,Texte non publié séparément. Extraits conservés dans les Hippiatrica (tlg0738)
74,52,De Signis Tempestatum,On wheather signs,On wheather signs,grec,Oui,Non,Non,Non,Non,
75,66,Liber de natura rerum,Livre de la nature des choses,Book on the Nature of Things,latin,Oui,Non,Non,Non,Non,
76,54,Περὶ ζώων,Sur les animaux,On animals,grec,Oui,Non,Non,Non,Non,
77,55,De re rustica,L’économie rurale,On agriculture,latin,Oui,Non,Non,Non,Non,
78,68,Speculum naturale,Speculum naturale,Speculum naturale,latin,Oui,Oui,Non,Non,Non,
79,57,Οἰκονομικός,Économique,Economics,grec,Oui,Oui,Oui,Oui,Non,
80,57,Ἱππαρχικός,Le commandant de la cavalerie,The Cavalry commander,grec,Oui,Oui,Oui,Oui,Non,
81,57,περὶ Ἱππικῆς,De l’art équestre,On the Art of Horsemanship,grec,Oui,Oui,Oui,Non,Non,
82,57,Κυνηγετικά,L’art de la chasse,On Hunting,grec,Oui,Oui,Oui,Oui,Non,
83,28,Αλεξιφάρμακα,Les Alexipharmaques,Alexipharmaca,grec,Oui,Oui,Oui,Non,Non,
84,58,Liber de animalibus,Livre des animaux,Book of Animals,latin,Oui,Oui,Oui,Non,Non,
85,79,Physiologus Theobaldi,Physiologus métrique,Metrical Physiologus,latin,Oui,Oui,Non,Non,Non,
86,24,"Περὶ διαίτης, βιβλίον Β'","Du régime, livre II","Regimen, Book II",grec,Oui,Oui,Oui,Oui,Non,
87,60,Liber similitudinum naturalium,Liber similitudinum naturalium,Liber similitudinum naturalium,latin,Non,Oui,Non,Non,Non,
88,61,Tractatus de naturis animalium,Tractatus de naturis animalium,Tractatus de naturis animalium,latin,Non,Oui,Non,Non,Non,
89,62,Hortus sanitatis,Hortus sanitatis,Hortus sanitatis,latin,Non,Oui,Non,Non,Non,
90,63,Historia naturalis,Historia naturalis,Historia naturalis,latin,Non,Oui,Non,Non,Non,
91,64,Summa de exemplis,Summa de exemplis,Summa de exemplis,latin,Non,Oui,Non,Non,Non,
92,65,Tractatus septiformis,Tractatus septiformis,Tractatus septiformis,latin,Non,Oui,Non,Non,Non,
94,66,Liber de natura rerum (version III),Liber de natura rerum (version III),Liber de natura rerum (version III),latin,Non,Oui,Non,Non,Non,
108,46,à renseigner,à renseigner,à renseigner,grec,Non,Non,Non,Non,Non,
109,51,Hippiatrica,Hippiatrica,Hippiatrica,grec,Non,Oui,Non,Non,Non,Texte non publié séparément. Extraits conservés dans les Hippiatrica (tlg0738)
115,13,Homiliae in Hexaemeron,Homelies sur l'Hexaemeron,Homilies on the Hexaemeron,grec,Non,Oui,Oui,Non,Non,
116,46,Alexipharmaca,Alexipharmaques,Alexipharmaca,grec,Non,Oui,Non,Non,Non,
117,46,Theriaca,Thériaques,Theriaca,grec,Non,Oui,Non,Non,Non,
118,80,Hippiatrica Cantabrigiensia,Hippiatrica Cantabrigiensia,Hippiatrica Cantabrigiensia,grec,Non,Oui,Non,Non,Non,
119,80,Hippiatrica Berolinensia,Hippiatrica Berolinensia,Hippiatrica Berolinensia,grec,Non,Oui,Non,Non,Non,
120,80,Hippiatrica Parisina,Hippiatrica Parisina,Hippiatrica Parisina,grec,Non,Oui,Non,Non,Non,
121,80,Additamenta Londinensia,Additamenta Londinensia,Additamenta Londinensia,grec,Non,Oui,Non,Non,Non,
122,57,Ἀγησίλαος,Agésilas,Agesilaus,grec,Non,Non,Oui,Non,Non,"AJOUT 07/2026 : traduction anglaise extraite du fichier groupe 'Xenophon English Minor Works.xml' (Perseus, trad. Marchant), convertie de milestones a plat vers une structure div/section/p. AUCUN TEXTE GREC ORIGINAL retrouve dans le corpus actuel -- verification structurelle impossible tant que l'original n'est pas ajoute. A rechercher (Perseus/First1KGreek). MISE A JOUR (07/2026) : original grec retrouve sur PerseusDL/canonical-greekLit (code tlg009) et rattache. Verification de conformite structurelle a faire."
123,57,Λακεδαιμονίων Πολιτεία,Constitution des Lacédémoniens,Constitution of the Lacedaemonians,grec,Non,Non,Oui,Non,Non,"AJOUT 07/2026 : traduction anglaise extraite du fichier groupe 'Xenophon English Minor Works.xml' (Perseus, trad. Marchant), convertie de milestones a plat vers une structure div/section/p. AUCUN TEXTE GREC ORIGINAL retrouve dans le corpus actuel -- verification structurelle impossible tant que l'original n'est pas ajoute. A rechercher (Perseus/First1KGreek). MISE A JOUR (07/2026) : original grec retrouve sur PerseusDL/canonical-greekLit (code tlg010) et rattache. Verification de conformite structurelle a faire."
124,57,Ἱέρων,Hiéron,Hiero,grec,Non,Non,Oui,Non,Non,"AJOUT 07/2026 : traduction anglaise extraite du fichier groupe 'Xenophon English Minor Works.xml' (Perseus, trad. Marchant), convertie de milestones a plat vers une structure div/section/p. AUCUN TEXTE GREC ORIGINAL retrouve dans le corpus actuel -- verification structurelle impossible tant que l'original n'est pas ajoute. A rechercher (Perseus/First1KGreek). MISE A JOUR (07/2026) : original grec retrouve sur PerseusDL/canonical-greekLit (code tlg008) et rattache. Verification de conformite structurelle a faire."
125,57,Πόροι,Revenus,Ways and Means,grec,Non,Non,Oui,Non,Non,"AJOUT 07/2026 : traduction anglaise extraite du fichier groupe 'Xenophon English Minor Works.xml' (Perseus, trad. Marchant), convertie de milestones a plat vers une structure div/section/p. AUCUN TEXTE GREC ORIGINAL retrouve dans le corpus actuel -- verification structurelle impossible tant que l'original n'est pas ajoute. A rechercher (Perseus/First1KGreek). MISE A JOUR (07/2026) : original grec retrouve sur PerseusDL/canonical-greekLit (code tlg011) et rattache. Verification de conformite structurelle a faire."
127,81,Paraphrasis in Oppiani Cynegetica,Paraphrase des Cynegetiques d'Oppien,Paraphrase of Oppian's Cynegetica,grec,Non,Non,Non,Non,Non,
128,82,Paraphrasis in Oppiani Halieutica,Paraphrase des Halieutiques d'Oppien,Paraphrase of Oppian's Halieutica,grec,Non,Non,Non,Non,Non,
129,31,Metamorphoses,Metamorphoses,Metamorphoses,latin,Non,Oui,Oui,Non,Non,
130,31,Fasti,Fastes,Fasti,latin,Non,Non,Non,Non,Non,
131,83,Physiologus,,,,Non,Non,Non,Non,Non,
132,84,Physiologus,,,,Non,Non,Non,Non,Non,
136,31,Ibis,Ibis,,latin,Non,Non,Non,Non,Non,
137,31,Epistulae ex Ponto,Pontiques,,latin,Non,Oui,Oui,Non,Non,
144,4,Ἱστοριῶν παραδόξων συναγωγή,,Collection of Marvellous Accounts,grec,Non,Oui,Oui,Non,Non,"Edition Keller 1877 (Rerum Naturalium Scriptores Graeci Minores), domaine public - remplace le temoin TLG restreint (voir fichier 184)."
145,24,Περὶ διαίτης ὀξέων. Νόθα,"Du régime des maladies aiguës (appendice, apocryphe)","On Regimen in Acute Diseases (Appendix, spurious)",grec,Non,Non,Non,Non,Non,"2026-09-07 : traite distinct de tlg0627.tlg004 (zoo24/1), auparavant place a tort a cet emplacement. Contenu (grec + portion anglaise 'app_*') deplace depuis zoo24/1 le 2026-09-07 - voir DOCUMENTATION_SYSTEME_ZOO.md section 21."
146,86,Παραδοξογράφος Βατικανός (extraits zoologiques),Paradoxographe du Vatican (extraits zoologiques),Paradoxographus Vaticanus (zoological excerpts),grec,Non,Oui,Oui,Non,Non,
147,89,Περὶ θαυμασίων ἀκουσμάτων,Histoires merveilleuses,On Marvellous Things Heard,grec,Non,Oui,Oui,Non,Non,
