nom_fichier,code_zoo,nom_canonique,titre_original,etat,statut,langue,ancien_code,corpus
dionysius_ixeutica_paraphrase_eng_IA.xml,zoo47/1e,DENYS (pseudo),Ἰξευτικά,IA non relue,Disponible,anglais,tlg0084,archive
Dionysius_Ixeutica_tlg0084.003.xml,zoo47/1g,DENYS (pseudo),Ἰξευτικά,non audite,Disponible,grec,tlg0084,archive
dionysius_ixeuticon_tei.xml,zoo47/1g_2,DENYS (pseudo),Ἰξευτικά,Partiel (3%),Disponible,grec,tlg0084,archive
strabo_complet_eng_tei.xml,zoo49/1e,STRABO,Γεωγραφικά,IA non relue,Disponible,anglais,tlg0099,archive
tlg0099.tlg001.perseus-grc1.xml,zoo49/1g,STRABO,Γεωγραφικά,Partiel (95%),Disponible,grec,tlg0099,archive
strato_inventions_eng_tei.xml,zoo50/1e,STRATO LAMPSACENUS,Περὶ εὑρημάτων,IA non relue,Disponible,anglais,tlg1696,archive
Strato Fragmenta_tei.xml,zoo50/1g,STRATO LAMPSACENUS,Περὶ εὑρημάτων,Partiel (35%),Disponible,grec,tlg1696,archive
theomnestos_hippiatrica_fragments_grc_extrait_zoo80.xml,zoo51/2g,THEOMNESTOS,Hippiatrica,Sans traduction anglaise,Disponible,grec,wikidataQ679536,archive
theophrastus_eng_tei.xml,zoo52/1e,THEOPHRASTUS,De Signis Tempestatum,Partiel,Disponible,anglais,tlg0093,archive
tlg0093.tlg010x03.1st1K-grc1.xml,zoo52/1g,THEOPHRASTUS,De Signis Tempestatum,Partiel (96%),Disponible,grec,tlg0093,archive
bodenheimer_1949_traduction_eng_tei.xml,zoo54/1e,TIMOTHEUS GAZAEUS,Περὶ ζώων,non audite,"EN ATTENTE - droits auteur a clarifier avec Zucker (Bodenheimer mort 1959, domaine public 2029-2030)",anglais,tlg2449,absent
Timotheus De animalibus_tei.xml,zoo54/1g,TIMOTHEUS GAZAEUS,Περὶ ζώων,non audite,Disponible,grec,tlg2449,archive
fragmenta_timothee_tei.xml,zoo54/1g_2,TIMOTHEUS GAZAEUS,Περὶ ζώων,Sans traduction anglaise,Disponible,grec,tlg2449,archive
timothee_extraits_sylloge_tei.xml,zoo54/1g_3,TIMOTHEUS GAZAEUS,Περὶ ζώων,Sans traduction anglaise,Disponible,grec,tlg2449,archive
xenophon_oeconomicus_eng_IA.xml,zoo57/1e,XENOPHON,Οἰκονομικός,IA non relue,Disponible,anglais,tlg0032,archive
tlg0032.tlg003.perseus-grc1.xml,zoo57/1g,XENOPHON,Οἰκονομικός,Partiel (100%),Disponible,grec,tlg0032,archive
xenophon_hiero_eng.xml,zoo57/7e,XENOPHON,Ἱέρων,Partiel,Disponible,anglais,tlg0032,archive
tlg0032.tlg008.perseus-grc2.xml,zoo57/7g,XENOPHON,Ἱέρων,Partiel (99%),Disponible,grec,tlg0032,archive
1e.xml,zoo58/1e,PETRUS GALLECUS,Liber de animalibus,IA non relue,Disponible,anglais,viaf79204298,archive
1l.xml,zoo58/1l,PETRUS GALLECUS,Liber de animalibus,Partiel (100%),Disponible,latin,viaf79204298,archive
apsyrtos_hippiatrica_fragments_grc_extrait_zoo80.xml,zoo6/1g,APSYRTOS,Hippiatrica,Sans traduction anglaise,Disponible,grec,wikidataQ456578,archive
conrad_halberstadt_animalibus_eng.xml,zoo60/1e,CONRAD DE HALBERSTADT,Liber similitudinum naturalium,IA non relue,Disponible,anglais,viaf67263708,archive
Conrad de Halberstadt - Liber similitudinum naturalium - 4.xml,zoo60/1l,CONRAD DE HALBERSTADT,Liber similitudinum naturalium,Partiel (58%),Disponible,latin,viaf67263708,archive
engelbertus_tractatus_eng_IA.xml,zoo61/1e,ENGELBERTUS ADMONTENSIS,Tractatus de naturis animalium,IA non relue,Disponible,anglais,viaf36891982,archive
Engelbertus Admontensis - Tractatus de naturis animalium.xml,zoo61/1l,ENGELBERTUS ADMONTENSIS,Tractatus de naturis animalium,Partiel (1%),Disponible,latin,viaf36891982,archive
noble_lyfe_oxford_tei.xml,zoo62/1e,IOHANNES DE CUBA,Hortus sanitatis,Complet,Disponible,anglais,viaf49269039,archive
hortus_animalibus_tei.xml,zoo62/1l,IOHANNES DE CUBA,Hortus sanitatis,Complet,Disponible,latin,viaf49269039,archive
iohannes_egidius_zamorensis_eng_IA.xml,zoo63/1e,IOHANNES EGIDIUS ZAMORENSIS,Historia naturalis,IA non relue,Disponible,anglais,viaf18034405,archive
Iohannes Egidius Zamorensis - Historia naturalis.xml,zoo63/1l,IOHANNES EGIDIUS ZAMORENSIS,Historia naturalis,Partiel (99%),Disponible,latin,viaf18034405,archive
geminiano_summa_exemplis_eng_IA.xml,zoo64/1e,IOHANNES DE SANCTO GEMINIANO,Summa de exemplis,IA non relue,Disponible,anglais,mirabile20323,archive
Iohannes de Sancto Geminiano - Summa de exemplis ac similitudinibus rerum.xml,zoo64/1l,IOHANNES DE SANCTO GEMINIANO,Summa de exemplis,Partiel (100%),Disponible,latin,mirabile20323,archive
marcus_urbe_veteri_tractatus_complet_eng_IA.xml,zoo65/1e,MARCUS DE URBE VETERI,Tractatus septiformis,IA non relue,Disponible,anglais,pas didentifiant auteur trouve,archive
Marcus de Urbe Veteri - Tractatus septiformis de moralitatibus rerum.xml,zoo65/1l,MARCUS DE URBE VETERI,Tractatus septiformis,Partiel (97%),Disponible,latin,pas didentifiant auteur trouve,archive
thomas_cantimpratensis_I_II_eng_IA.xml,zoo66/1e,THOMAS CANTIMPRATENSIS,Liber de natura rerum,IA non relue,Disponible,anglais,viaf100174374,archive
"Thomas Cantimpratensis - Liber de natura rerum, version Thomas I II.xml",zoo66/1l,THOMAS CANTIMPRATENSIS,Liber de natura rerum,Partiel (37%),Disponible,latin,viaf100174374,archive
thomas_cantimpratensis_III_eng_IA.xml,zoo66/2e,THOMAS CANTIMPRATENSIS,Liber de natura rerum (version III),IA non relue,Disponible,anglais,viaf100174374,archive
"Thomas Cantimpratensis - Liber de natura rerum, version Thomas III.xml",zoo66/2l,THOMAS CANTIMPRATENSIS,Liber de natura rerum (version III),Partiel (100%),Disponible,latin,viaf100174374,archive
vincentius_belvacensis_speculum_naturale_eng_IA.xml,zoo68/1e,VINCENTIUS BELVACENSIS,Speculum naturale,IA non relue,Disponible,anglais,viaf105133420,archive
Vincentius Belvacensis - Speculum naturale.xml,zoo68/1l,VINCENTIUS BELVACENSIS,Speculum naturale,Partiel (21%),Disponible,latin,viaf105133420,archive
aristote_partibus_animalium_eng_tei.xml,zoo7/10e,ARISTOTELES,Περὶ ζῴων μορίων,Partiel,Disponible,anglais,tlg0086,archive
tlg0086.tlg030.1st1K-grc1.xml,zoo7/10g,ARISTOTELES,Περὶ ζῴων μορίων,Partiel (37%),Disponible,grec,tlg0086,archive
aristote_ha_eng_tei.xml,zoo7/13e,ARISTOTELES,περὶ ζῴων ἱστορίας,Partiel,Disponible,anglais,tlg0086,archive
tlg0086.tlg014.1st1K-grc1.xml,zoo7/13g,ARISTOTELES,περὶ ζῴων ἱστορίας,Partiel (88%),Disponible,grec,tlg0086,archive
aristote_generation_animalium_eng_tei.xml,zoo7/1e,ARISTOTELES,Περὶ ζᾥων γενέσεως,Partiel,Disponible,anglais,tlg0086,archive
tlg0086.tlg012.1st1K-grc1.xml,zoo7/1g,ARISTOTELES,Περὶ ζᾥων γενέσεως,Partiel (73%),Disponible,grec,tlg0086,archive
aristote_problemata_eng_IA.xml,zoo7/5e,ARISTOTELES,Προβλήματα,IA non relue,Disponible,anglais,tlg0086,archive
tlg0086.tlg036.1st1K-grc1.xml,zoo7/5g,ARISTOTELES,Προβλήματα,Partiel (8%),Disponible,grec,tlg0086,archive
aristote_physiognomonica_eng_IA.xml,zoo7/6e,ARISTOTELES,Φυσιογνωμονικά,IA non relue,Disponible,anglais,tlg0086,archive
tlg0086.tlg032.1st1K-grc1.xml,zoo7/6g,ARISTOTELES,Φυσιογνωμονικά,Partiel (100%),Disponible,grec,tlg0086,archive
aristote_mirabilibus_eng_IA.xml,zoo7/7e,ARISTOTELES,Περὶ θαυμασίων ἀκουσμάτων,IA non relue,Disponible,anglais,tlg0086,archive
tlg0086.tlg027.1st1K-grc1.xml,zoo7/7g,ARISTOTELES,Περὶ θαυμασίων ἀκουσμάτων,Partiel (100%),Disponible,grec,tlg0086,archive
aristote_sensu_sensibilibus_eng_tei.xml,zoo7/8e,ARISTOTELES,Περὶ αἰσθήσεως καὶ αἰσθητῶν,Partiel,Disponible,anglais,tlg0086,archive
tlg0086.tlg041.1st1K-grc1.xml,zoo7/8g,ARISTOTELES,Περὶ αἰσθήσεως καὶ αἰσθητῶν,Partiel (78%),Disponible,grec,tlg0086,archive
philumenus_wellmann1908_eng_IA.xml,zoo70/1e,PHILOUMENOS,De venenatis animalibus eorumque remediis,IA non relue,Disponible,anglais,tlg0671,archive
philumenus_tei.xml,zoo70/1g,PHILOUMENOS,De venenatis animalibus eorumque remediis,Partiel (30%),Disponible,grec,tlg0671,archive
physiologus_grc_ancien_eng_IA.xml,zoo71/1e,PHYSIOLOGUS,Physiologus,IA non relue,Disponible,anglais,tlg2654,archive
physiologus_grc_ancien_tei.xml,zoo71/1g,PHYSIOLOGUS,Physiologus,non audite,Disponible,grec,tlg2654,archive
physiologus_sbordone_secunda_eng_IA.xml,zoo71/2e,PHYSIOLOGUS,Physiologus,IA non relue,Disponible,anglais,tlg2654,archive
