zoo_id,auteur,periode,fichier,langue,titre
zoo79,HILDEBERTUS CENOMANENSIS,medieval (apres 700 ap. J.-C.),1l.xml,latin,Physiologus
zoo80,HIPPIATRICA,tardo-antique (300 - 700 ap. J.-C.),1g.xml,grec,Hippiatrica Cantabrigiensia
zoo80,HIPPIATRICA,tardo-antique (300 - 700 ap. J.-C.),2g.xml,grec,Hippiatrica Berolinensia
zoo80,HIPPIATRICA,tardo-antique (300 - 700 ap. J.-C.),3g.xml,grec,Hippiatrica Parisina
zoo80,HIPPIATRICA,tardo-antique (300 - 700 ap. J.-C.),4g.xml,grec,Additamenta Londinensia
zoo81,EUTECNIUS,tardo-antique (Ve siecle ap. J.-C.),1g.xml,grec,Paraphrasis in Oppiani Cynegetica
zoo82,ANONYME,tardo-antique (paraphraste des Halieutiques d'Oppien),1g.xml,grec,Paraphrasis in Oppiani Halieutica
zoo83,PHYSIOLOGUS LATINUS D,,1l.xml,latin,Physiologus latinus d
zoo84,PHYSIOLOGUS LATINUS X,,1l.xml,latin,Physiologus latinus x
zoo85,SOLINUS,antique (800 av. J.-C. - 300 ap. J.-C.),1e.xml,anglais,The excellent and pleasant worke of Iulius Solinus Polyhistor
zoo85,SOLINUS,antique (800 av. J.-C. - 300 ap. J.-C.),1l.xml,latin,Collectanea rerum memorabilium
zoo86,ANONYME (Paradoxographus Vaticanus),tardo-antique (300 - 700 ap. J.-C.),1e.xml,anglais,Paradoxographus Vaticanus (zoological excerpts)
zoo86,ANONYME (Paradoxographus Vaticanus),tardo-antique (300 - 700 ap. J.-C.),1g.xml,grec,Paradoxographus Vaticanus (extraits zoologiques)
zoo87,VEGETIUS,tardo-antique (300 - 700 ap. J.-C.),1e.xml,anglais,"Of the Distempers of Horses, and of the Art of Curing Them"
zoo87,VEGETIUS,tardo-antique (300 - 700 ap. J.-C.),1l.xml,latin,Digesta artis mulomedicinae
